id,city,county,state,population,density
1661,Branchville,Sussex,New Jersey,5529.0,36.6
1662,Budd Lake,Morris,New Jersey,14083.0,383.8
1663,Califon,Hunterdon,New Jersey,7748.0,115.0
1664,Changewater,Warren,New Jersey,30.0,94.7
1665,Delaware,Warren,New Jersey,112.0,140.4
1666,Denville,Morris,New Jersey,18048.0,600.1
1667,Flanders,Morris,New Jersey,12034.0,321.0
1668,Great Meadows,Warren,New Jersey,3190.0,47.6
1669,Hackettstown,Warren,New Jersey,32952.0,340.8
1670,Hibernia,Morris,New Jersey,0.0,0.0
1671,Hopatcong,Sussex,New Jersey,11102.0,1102.5
1672,Johnsonburg,Warren,New Jersey,22.0,103.7
1673,Kenvil,Morris,New Jersey,1685.0,268.7
1674,Lafayette,Sussex,New Jersey,4425.0,74.6
1675,Lake Hopatcong,Morris,New Jersey,8573.0,494.3
1676,Landing,Morris,New Jersey,7266.0,1007.8
1677,Layton,Sussex,New Jersey,363.0,12.3
1678,Ledgewood,Morris,New Jersey,4095.0,437.4
1679,Long Valley,Morris,New Jersey,12548.0,149.0
1680,Mount Arlington,Morris,New Jersey,4429.0,498.1
1681,Netcong,Morris,New Jersey,3564.0,1317.5
1682,Port Murray,Warren,New Jersey,2533.0,59.1
1683,Rockaway,Morris,New Jersey,22383.0,375.6
1684,Schooleys Mountain,Morris,New Jersey,29.0,12.1
1685,Sparta,Sussex,New Jersey,21020.0,212.7
1686,Stanhope,Sussex,New Jersey,8534.0,389.4
1687,Succasunna,Morris,New Jersey,9527.0,641.3
1688,Mount Tabor,Morris,New Jersey,740.0,3130.5
1689,Wallpack Center,Sussex,New Jersey,8.0,0.3
1690,Wharton,Morris,New Jersey,11673.0,306.9
1691,Summit,Union,New Jersey,24281.0,1480.4
1692,Basking Ridge,Somerset,New Jersey,28460.0,404.4
1693,Bedminster,Somerset,New Jersey,7573.0,159.1
1694,Berkeley Heights,Union,New Jersey,12078.0,835.5
1695,Bernardsville,Somerset,New Jersey,7746.0,249.9
1696,Brookside,Morris,New Jersey,69.0,75.2
1697,Cedar Knolls,Morris,New Jersey,4181.0,753.0
1698,Far Hills,Somerset,New Jersey,3399.0,59.8
1699,Florham Park,Morris,New Jersey,10941.0,627.3
1700,Gillette,Morris,New Jersey,2661.0,194.0
1701,Gladstone,Somerset,New Jersey,1575.0,195.8
1702,Green Village,Morris,New Jersey,472.0,69.8
1703,East Hanover,Morris,New Jersey,11102.0,544.3
1704,Lyons,Somerset,New Jersey,330.0,944.4
1705,Mendham,Morris,New Jersey,9698.0,192.2
1706,Millington,Morris,New Jersey,2991.0,283.3
1707,Morris Plains,Morris,New Jersey,21738.0,921.2
1708,Morristown,Morris,New Jersey,46560.0,519.3
1709,Convent Station,Morris,New Jersey,343.0,781.0
1710,Mount Freedom,Morris,New Jersey,257.0,373.8
1711,New Providence,Union,New Jersey,12911.0,1256.1
1712,New Vernon,Morris,New Jersey,355.0,39.5
1713,Peapack,Somerset,New Jersey,689.0,134.8
1714,Pottersville,Hunterdon,New Jersey,246.0,107.2
1715,Stirling,Morris,New Jersey,2978.0,485.9
1716,Whippany,Morris,New Jersey,8938.0,572.5
1717,Alloway,Salem,New Jersey,835.0,97.0
1718,Cherry Hill,Camden,New Jersey,23630.0,1265.6
1719,Atco,Camden,New Jersey,10966.0,164.4
1720,Barnegat,Ocean,New Jersey,25578.0,184.5
1721,Barnegat Light,Ocean,New Jersey,435.0,202.2
1722,Beach Haven,Ocean,New Jersey,6995.0,249.9
1723,Birmingham,Burlington,New Jersey,53.0,87.8
1724,Blackwood,Camden,New Jersey,40320.0,1037.9
1725,Browns Mills,Burlington,New Jersey,19164.0,131.6
1726,Chatsworth,Burlington,New Jersey,946.0,3.2
1727,Clarksboro,Gloucester,New Jersey,2834.0,240.4
1728,Clementon,Camden,New Jersey,47946.0,1427.9
1729,Columbus,Burlington,New Jersey,9124.0,165.8
1730,Deepwater,Salem,New Jersey,282.0,128.9
1731,Gibbsboro,Camden,New Jersey,2278.0,408.7
1732,Gibbstown,Gloucester,New Jersey,4921.0,253.8
1733,Glassboro,Gloucester,New Jersey,24360.0,648.5
1734,Glendora,Camden,New Jersey,5850.0,2101.1
1735,Gloucester City,Camden,New Jersey,13251.0,1827.7
1736,Bellmawr,Camden,New Jersey,11677.0,1511.0
1737,Grenloch,Gloucester,New Jersey,226.0,426.1
1738,Haddonfield,Camden,New Jersey,17110.0,1675.8
1739,Haddon Heights,Camden,New Jersey,7570.0,1854.3
1740,Hainesport,Burlington,New Jersey,6024.0,361.2
1741,Hammonton,Atlantic,New Jersey,23392.0,73.7
1742,Hancocks Bridge,Salem,New Jersey,380.0,8.4
1743,Harrisonville,Gloucester,New Jersey,17.0,12.2
1744,Jobstown,Burlington,New Jersey,832.0,28.1
1745,Juliustown,Burlington,New Jersey,33.0,14.9
1746,Voorhees,Camden,New Jersey,30876.0,1039.3
1747,Lawnside,Camden,New Jersey,3059.0,846.5
1748,Willingboro,Burlington,New Jersey,31812.0,1616.5
1749,Lumberton,Burlington,New Jersey,12786.0,407.1
1750,Magnolia,Camden,New Jersey,5216.0,1643.0
1751,Manahawkin,Ocean,New Jersey,27097.0,338.6
1752,Mantua,Gloucester,New Jersey,12107.0,1215.0
1753,Maple Shade,Burlington,New Jersey,19885.0,2004.6
1754,Marlton,Burlington,New Jersey,47200.0,625.1
1755,Mount Laurel,Burlington,New Jersey,44929.0,798.5
1756,Mickleton,Gloucester,New Jersey,5427.0,230.2
1757,Moorestown,Burlington,New Jersey,20942.0,528.4
1758,Mount Ephraim,Camden,New Jersey,5521.0,1734.7
1759,Mount Royal,Gloucester,New Jersey,3517.0,1024.2
1760,Mullica Hill,Gloucester,New Jersey,17907.0,214.9
1761,National Park,Gloucester,New Jersey,3070.0,1151.6
1762,New Lisbon,Burlington,New Jersey,60.0,8.6
1763,Paulsboro,Gloucester,New Jersey,7859.0,443.2
1764,Pedricktown,Salem,New Jersey,1646.0,33.4
1765,Pemberton,Burlington,New Jersey,7033.0,116.5
1766,Penns Grove,Salem,New Jersey,13402.0,324.7
1767,Pennsville,Salem,New Jersey,12468.0,232.6
1768,Pitman,Gloucester,New Jersey,9356.0,1089.8
1769,Quinton,Salem,New Jersey,249.0,270.9
1770,Rancocas,Burlington,New Jersey,0.0,0.0
1771,Richwood,Gloucester,New Jersey,0.0,0.0
1772,Runnemede,Camden,New Jersey,8005.0,1607.4
1773,Sewell,Gloucester,New Jersey,38215.0,504.7
1774,Sicklerville,Camden,New Jersey,50604.0,774.0
1775,Somerdale,Camden,New Jersey,9464.0,1457.6
1776,Swedesboro,Gloucester,New Jersey,21364.0,185.4
1777,Thorofare,Gloucester,New Jersey,8121.0,447.7
1778,Tuckerton,Ocean,New Jersey,25057.0,138.1
1779,Vincentown,Burlington,New Jersey,23988.0,61.5
1780,Waterford Works,Camden,New Jersey,4152.0,99.4
1781,Wenonah,Gloucester,New Jersey,9843.0,1300.6
1782,West Berlin,Camden,New Jersey,5881.0,681.9
1783,West Creek,Ocean,New Jersey,3098.0,52.2
1784,Westville,Gloucester,New Jersey,9690.0,924.5
1785,Winslow,Camden,New Jersey,0.0,0.0
1786,Woodbury Heights,Gloucester,New Jersey,3244.0,951.7
1787,Woodstown,Salem,New Jersey,9475.0,63.2
1788,Audubon,Camden,New Jersey,9726.0,2308.1
1789,Oaklyn,Camden,New Jersey,13568.0,2925.6
1790,Collingswood,Camden,New Jersey,18970.0,2721.2
1791,Merchantville,Camden,New Jersey,23747.0,1901.4
1792,Pennsauken,Camden,New Jersey,19465.0,1163.0
1793,Absecon,Atlantic,New Jersey,10078.0,681.3
1794,Avalon,Cape May,New Jersey,1625.0,90.8
1795,Brigantine,Atlantic,New Jersey,7784.0,457.2
1796,Cape May,Cape May,New Jersey,17392.0,328.2
1797,Cape May Court House,Cape May,New Jersey,17377.0,97.9
1798,Cape May Point,Cape May,New Jersey,155.0,202.9
1799,Egg Harbor City,Atlantic,New Jersey,13789.0,42.9
1800,Elwood,Atlantic,New Jersey,0.0,0.0
1801,Marmora,Cape May,New Jersey,4230.0,126.1
1802,New Gretna,Burlington,New Jersey,189.0,50.4
1803,Ocean City,Cape May,New Jersey,11260.0,643.8
1804,Ocean View,Cape May,New Jersey,6139.0,121.4
1805,Pleasantville,Atlantic,New Jersey,20241.0,1332.4
1806,Egg Harbor Township,Atlantic,New Jersey,46462.0,295.7
1807,Pomona,Atlantic,New Jersey,2842.0,499.1
1808,Port Republic,Atlantic,New Jersey,980.0,50.7
1809,Sea Isle City,Cape May,New Jersey,2047.0,358.5
1810,Somers Point,Atlantic,New Jersey,10631.0,833.7
1811,South Seaville,Cape May,New Jersey,60.0,71.4
1812,Stone Harbor,Cape May,New Jersey,977.0,72.2
1813,Strathmere,Cape May,New Jersey,121.0,88.7
1814,Villas,Cape May,New Jersey,10308.0,565.9
1815,Wildwood,Cape May,New Jersey,12680.0,307.0
1816,Woodbine,Cape May,New Jersey,8231.0,30.9
1817,Bridgeton,Cumberland,New Jersey,47487.0,128.6
1818,Buena,Atlantic,New Jersey,979.0,30.9
1819,Cedarville,Cumberland,New Jersey,1601.0,22.1
1820,Clayton,Gloucester,New Jersey,8460.0,593.1
1821,Delmont,Cumberland,New Jersey,587.0,18.6
1822,Dorothy,Atlantic,New Jersey,1184.0,62.1
1823,Elmer,Salem,New Jersey,12069.0,57.9
1824,Estell Manor,Atlantic,New Jersey,1343.0,34.5
1825,Fairton,Cumberland,New Jersey,1053.0,962.8
1826,Fortescue,Cumberland,New Jersey,95.0,4.1
1827,Franklinville,Gloucester,New Jersey,10355.0,137.3
1828,Heislerville,Cumberland,New Jersey,327.0,13.7
1829,Landisville,Atlantic,New Jersey,1063.0,128.9
1830,Leesburg,Cumberland,New Jersey,3836.0,154.5
1831,Malaga,Gloucester,New Jersey,1528.0,309.9
1832,Mauricetown,Cumberland,New Jersey,321.0,250.5
1833,Mays Landing,Atlantic,New Jersey,29895.0,90.6
1834,Milmay,Cumberland,New Jersey,939.0,13.0
1835,Minotola,Atlantic,New Jersey,2286.0,880.0
1836,Monroeville,Salem,New Jersey,4882.0,58.4
1837,Port Elizabeth,Cumberland,New Jersey,196.0,41.3
1838,Port Norris,Cumberland,New Jersey,2450.0,27.4
1839,Richland,Atlantic,New Jersey,518.0,61.7
1840,Rosenhayn,Cumberland,New Jersey,388.0,548.2
1841,Shiloh,Cumberland,New Jersey,305.0,97.9
1842,Vineland,Cumberland,New Jersey,43784.0,381.3
1843,Atlantic City,Atlantic,New Jersey,38726.0,1400.5
1844,Margate City,Atlantic,New Jersey,5331.0,1456.6
1845,Longport,Atlantic,New Jersey,946.0,173.3
1846,Ventnor City,Atlantic,New Jersey,9046.0,1768.2
1847,Allentown,Monmouth,New Jersey,6417.0,91.1
1848,Belle Mead,Somerset,New Jersey,11603.0,338.5
1849,Bordentown,Burlington,New Jersey,18067.0,310.2
1850,Millstone Township,Monmouth,New Jersey,5520.0,120.1
1851,Cookstown,Burlington,New Jersey,880.0,142.4
1852,Cranbury,Middlesex,New Jersey,12519.0,212.0
1853,Cream Ridge,Monmouth,New Jersey,5597.0,79.0
1854,Hightstown,Mercer,New Jersey,29296.0,627.1
1855,Hopewell,Mercer,New Jersey,4554.0,78.5
1856,Lambertville,Hunterdon,New Jersey,8114.0,115.5
1857,New Egypt,Ocean,New Jersey,6140.0,43.2
1858,Pennington,Mercer,New Jersey,12990.0,230.2
1859,Plainsboro,Middlesex,New Jersey,20693.0,1064.5
1860,Princeton Junction,Mercer,New Jersey,20954.0,422.8
1861,Ringoes,Hunterdon,New Jersey,5746.0,84.6
1862,Roebling,Burlington,New Jersey,4184.0,1345.2
1863,Roosevelt,Monmouth,New Jersey,1037.0,206.4
1864,Skillman,Somerset,New Jersey,7515.0,186.2
1865,Stockton,Hunterdon,New Jersey,4902.0,47.5
1866,Titusville,Mercer,New Jersey,3689.0,106.9
