id,city,county,state,population,density
0,Adjuntas,Adjuntas,Puerto Rico,16834.0,100.9
1,Aguada,Aguada,Puerto Rico,37642.0,479.2
2,Aguadilla,Aguadilla,Puerto Rico,49075.0,551.7
3,Maricao,Maricao,Puerto Rico,5590.0,48.7
4,Anasco,Añasco,Puerto Rico,25542.0,265.7
5,Angeles,Utuado,Puerto Rico,1315.0,47.7
6,Arecibo,Arecibo,Puerto Rico,63312.0,321.1
7,Bajadero,Arecibo,Puerto Rico,9625.0,341.4
8,Barceloneta,Barceloneta,Puerto Rico,22573.0,474.8
9,Boqueron,Cabo Rojo,Puerto Rico,7577.0,93.9
10,Cabo Rojo,Cabo Rojo,Puerto Rico,39406.0,388.1
11,Penuelas,Peñuelas,Puerto Rico,21648.0,178.0
12,Camuy,Camuy,Puerto Rico,32733.0,272.6
13,Castaner,Lares,Puerto Rico,1431.0,176.8
14,Sabana Grande,Sabana Grande,Puerto Rico,22882.0,251.2
15,Ciales,Ciales,Puerto Rico,17605.0,95.2
16,Utuado,Utuado,Puerto Rico,24299.0,111.5
17,Dorado,Dorado,Puerto Rico,35926.0,658.9
18,Ensenada,Guánica,Puerto Rico,4702.0,114.8
19,Florida,Florida,Puerto Rico,13767.0,167.6
20,Garrochales,Arecibo,Puerto Rico,3924.0,235.2
21,Guanica,Guánica,Puerto Rico,8980.0,157.0
22,Guayanilla,Guayanilla,Puerto Rico,18121.0,166.0
23,Hatillo,Hatillo,Puerto Rico,37066.0,348.6
24,Hormigueros,Hormigueros,Puerto Rico,15483.0,528.2
25,Isabela,Isabela,Puerto Rico,40480.0,378.7
26,Jayuya,Jayuya,Puerto Rico,14967.0,123.2
27,Lajas,Lajas,Puerto Rico,23370.0,149.9
28,Lares,Lares,Puerto Rico,27529.0,165.8
29,Las Marias,Las Marías,Puerto Rico,8746.0,72.6
30,Manati,Manatí,Puerto Rico,39385.0,350.0
31,Moca,Moca,Puerto Rico,36683.0,289.9
32,Rincon,Rincón,Puerto Rico,15304.0,405.6
33,Quebradillas,Quebradillas,Puerto Rico,25039.0,331.8
34,Mayaguez,Mayagüez,Puerto Rico,43173.0,259.2
35,San German,San Germán,Puerto Rico,29547.0,231.5
36,San Sebastian,San Sebastián,Puerto Rico,40346.0,198.0
37,Morovis,Morovis,Puerto Rico,28659.0,284.7
38,Sabana Hoyos,Arecibo,Puerto Rico,11478.0,136.3
39,San Antonio,Aguadilla,Puerto Rico,5781.0,987.2
40,Vega Alta,Vega Alta,Puerto Rico,33302.0,484.7
41,Vega Baja,Vega Baja,Puerto Rico,55570.0,483.1
42,Yauco,Yauco,Puerto Rico,33506.0,206.4
43,Aguas Buenas,Aguas Buenas,Puerto Rico,24475.0,304.6
44,Aguirre,Salinas,Puerto Rico,6831.0,293.2
45,Aibonito,Aibonito,Puerto Rico,24401.0,309.9
46,Maunabo,Maunabo,Puerto Rico,10487.0,193.5
47,Arroyo,Arroyo,Puerto Rico,15797.0,406.5
48,Mercedita,Ponce,Puerto Rico,2040.0,62.0
49,Ponce,Ponce,Puerto Rico,27166.0,1210.1
50,Naguabo,Naguabo,Puerto Rico,23289.0,190.5
51,Naranjito,Naranjito,Puerto Rico,29523.0,404.1
52,Orocovis,Orocovis,Puerto Rico,20816.0,143.2
53,Patillas,Patillas,Puerto Rico,15978.0,134.1
54,Caguas,Caguas,Puerto Rico,77244.0,721.0
55,Canovanas,Canóvanas,Puerto Rico,47826.0,516.5
56,Ceiba,Ceiba,Puerto Rico,11164.0,157.5
57,Cayey,Cayey,Puerto Rico,45867.0,322.6
58,Fajardo,Fajardo,Puerto Rico,30093.0,392.3
59,Cidra,Cidra,Puerto Rico,34678.0,435.1
60,Puerto Real,Fajardo,Puerto Rico,2034.0,1880.9
61,Punta Santiago,Humacao,Puerto Rico,3627.0,615.1
62,Rio Grande,Río Grande,Puerto Rico,47494.0,301.9
63,Salinas,Salinas,Puerto Rico,19570.0,124.4
64,San Lorenzo,San Lorenzo,Puerto Rico,36576.0,282.5
65,Santa Isabel,Santa Isabel,Puerto Rico,20048.0,238.7
66,Vieques,Vieques,Puerto Rico,8199.0,67.0
67,Villalba,Villalba,Puerto Rico,22053.0,223.0
68,Yabucoa,Yabucoa,Puerto Rico,30779.0,215.4
69,Coamo,Coamo,Puerto Rico,34374.0,172.2
70,Las Piedras,Las Piedras,Puerto Rico,34964.0,401.8
71,Loiza,Loíza,Puerto Rico,17316.0,409.1
72,Luquillo,Luquillo,Puerto Rico,17716.0,283.8
73,Culebra,Culebra,Puerto Rico,1186.0,39.3
74,Juncos,Juncos,Puerto Rico,37726.0,542.4
75,Gurabo,Gurabo,Puerto Rico,40476.0,529.3
76,Coto Laurel,Ponce,Puerto Rico,13908.0,280.7
77,Comerio,Comerío,Puerto Rico,18639.0,257.2
78,Corozal,Corozal,Puerto Rico,34205.0,313.6
79,Guayama,Guayama,Puerto Rico,35917.0,207.8
80,La Plata,Aibonito,Puerto Rico,154.0,33.7
81,Humacao,Humacao,Puerto Rico,46537.0,421.4
82,Barranquitas,Barranquitas,Puerto Rico,28335.0,318.8
83,Juana Diaz,Juana Díaz,Puerto Rico,42900.0,277.3
84,St Thomas,St. Thomas,Virgin Islands,,
85,Christiansted,St. Croix,Virgin Islands,,
86,St John,St. John,Virgin Islands,,
87,Frederiksted,St. Croix,Virgin Islands,,
88,Kingshill,St. Croix,Virgin Islands,,
89,San Juan,San Juan,Puerto Rico,8220.0,3127.7
90,Fort Buchanan,Guaynabo,Puerto Rico,128.0,34.8
91,Toa Baja,Toa Baja,Puerto Rico,68031.0,1276.3
92,Sabana Seca,Toa Baja,Puerto Rico,8168.0,1422.4
93,Toa Alta,Toa Alta,Puerto Rico,66079.0,956.0
94,Bayamon,Bayamón,Puerto Rico,65841.0,927.1
95,Catano,Cataño,Puerto Rico,19614.0,1572.4
96,Guaynabo,Guaynabo,Puerto Rico,5148.0,2195.8
97,Trujillo Alto,Trujillo Alto,Puerto Rico,61638.0,1365.0
98,Carolina,Carolina,Puerto Rico,16890.0,1677.0
99,Agawam,Hampden,Massachusetts,16045.0,548.6
100,Amherst,Hampshire,Massachusetts,22992.0,166.7
101,Barre,Worcester,Massachusetts,4837.0,43.2
102,Belchertown,Hampshire,Massachusetts,15368.0,108.1
103,Blandford,Hampden,Massachusetts,1231.0,7.8
104,Bondsville,Hampden,Massachusetts,699.0,386.9
105,Brimfield,Hampden,Massachusetts,3699.0,40.5
106,Chester,Hampden,Massachusetts,1318.0,15.5
107,Chesterfield,Hampshire,Massachusetts,440.0,14.1
108,Chicopee,Hampden,Massachusetts,22895.0,1561.8
109,Cummington,Hampshire,Massachusetts,1073.0,14.8
110,Easthampton,Hampshire,Massachusetts,17711.0,168.5
111,East Longmeadow,Hampden,Massachusetts,16273.0,486.3
112,East Otis,Berkshire,Massachusetts,527.0,20.4
113,Feeding Hills,Hampden,Massachusetts,12561.0,403.2
114,Gilbertville,Worcester,Massachusetts,1697.0,97.3
115,Goshen,Hampshire,Massachusetts,484.0,19.4
116,Granby,Hampshire,Massachusetts,6096.0,84.6
117,Granville,Hampden,Massachusetts,2065.0,11.8
118,Hadley,Hampshire,Massachusetts,5295.0,88.6
119,Hampden,Hampden,Massachusetts,4966.0,97.8
120,Hardwick,Worcester,Massachusetts,582.0,12.1
121,Hatfield,Hampshire,Massachusetts,2469.0,103.4
122,Haydenville,Hampshire,Massachusetts,1728.0,40.5
123,Holyoke,Hampden,Massachusetts,38210.0,697.1
124,Huntington,Hampshire,Massachusetts,2714.0,25.3
125,Leeds,Hampshire,Massachusetts,1885.0,126.6
126,Leverett,Franklin,Massachusetts,1793.0,30.2
127,Ludlow,Hampden,Massachusetts,20883.0,296.5
128,Monson,Hampden,Massachusetts,8215.0,71.2
129,Northampton,Hampshire,Massachusetts,14724.0,523.1
130,Florence,Hampshire,Massachusetts,9491.0,210.0
131,North Hatfield,Hampshire,Massachusetts,134.0,41.0
132,Oakham,Worcester,Massachusetts,1585.0,28.2
133,Palmer,Hampden,Massachusetts,8516.0,117.2
134,Plainfield,Hampshire,Massachusetts,571.0,11.1
135,Russell,Hampden,Massachusetts,1259.0,31.0
136,Shutesbury,Franklin,Massachusetts,1413.0,28.6
137,Southampton,Hampshire,Massachusetts,6185.0,84.8
138,South Barre,Worcester,Massachusetts,694.0,1033.3
139,South Hadley,Hampshire,Massachusetts,17115.0,372.9
140,Southwick,Hampden,Massachusetts,9244.0,115.7
141,Thorndike,Hampden,Massachusetts,640.0,153.7
142,Three Rivers,Hampden,Massachusetts,2674.0,620.0
143,Wales,Hampden,Massachusetts,1716.0,45.8
144,Ware,Hampshire,Massachusetts,10533.0,86.5
145,Warren,Worcester,Massachusetts,2539.0,76.8
146,West Chesterfield,Hampshire,Massachusetts,99.0,4.6
147,Westfield,Hampden,Massachusetts,41592.0,268.9
148,West Hatfield,Hampshire,Massachusetts,725.0,53.3
149,West Springfield,Hampden,Massachusetts,28755.0,663.6
150,West Warren,Worcester,Massachusetts,1428.0,82.0
151,Whately,Franklin,Massachusetts,145.0,13.0
152,Wheelwright,Worcester,Massachusetts,44.0,23.6
153,Wilbraham,Hampden,Massachusetts,14673.0,251.9
154,Williamsburg,Hampshire,Massachusetts,2516.0,27.1
155,Woronoco,Hampden,Massachusetts,36.0,8.0
156,Worthington,Hampshire,Massachusetts,951.0,11.5
157,Springfield,Hampden,Massachusetts,2245.0,1993.6
158,Longmeadow,Hampden,Massachusetts,16019.0,645.2
159,Indian Orchard,Hampden,Massachusetts,9467.0,1543.1
160,Pittsfield,Berkshire,Massachusetts,45188.0,289.0
161,Adams,Berkshire,Massachusetts,8149.0,137.5
162,Ashley Falls,Berkshire,Massachusetts,623.0,52.4
163,Becket,Berkshire,Massachusetts,2565.0,14.2
164,Berkshire,Berkshire,Massachusetts,124.0,102.9
165,Cheshire,Berkshire,Massachusetts,3239.0,46.6
166,Dalton,Berkshire,Massachusetts,6332.0,112.4
167,Glendale,Berkshire,Massachusetts,125.0,19.4
168,Great Barrington,Berkshire,Massachusetts,9095.0,36.2
169,Hinsdale,Berkshire,Massachusetts,2461.0,20.4
170,Housatonic,Berkshire,Massachusetts,1625.0,94.8
171,Lanesborough,Berkshire,Massachusetts,2451.0,19.2
172,Lee,Berkshire,Massachusetts,5928.0,82.9
173,Lenox,Berkshire,Massachusetts,4922.0,79.5
174,Lenox Dale,Berkshire,Massachusetts,255.0,214.3
175,Middlefield,Hampshire,Massachusetts,135.0,3.6
176,Mill River,Berkshire,Massachusetts,158.0,10.6
177,Monterey,Berkshire,Massachusetts,828.0,12.4
178,North Adams,Berkshire,Massachusetts,15279.0,128.5
179,Otis,Berkshire,Massachusetts,818.0,14.9
180,Richmond,Berkshire,Massachusetts,961.0,25.7
181,Sandisfield,Berkshire,Massachusetts,931.0,7.1
182,Savoy,Berkshire,Massachusetts,620.0,6.7
183,Sheffield,Berkshire,Massachusetts,2230.0,25.4
184,South Egremont,Berkshire,Massachusetts,188.0,3.3
185,Southfield,Berkshire,Massachusetts,733.0,12.3
186,South Lee,Berkshire,Massachusetts,20.0,3.0
187,Stockbridge,Berkshire,Massachusetts,1785.0,34.9
188,Tyringham,Berkshire,Massachusetts,207.0,5.5
189,West Stockbridge,Berkshire,Massachusetts,952.0,18.2
190,Williamstown,Berkshire,Massachusetts,8142.0,53.0
191,Windsor,Berkshire,Massachusetts,999.0,12.0
192,Greenfield,Franklin,Massachusetts,17880.0,272.3
193,Ashfield,Franklin,Massachusetts,1607.0,18.0
194,Athol,Worcester,Massachusetts,13845.0,98.7
195,Bernardston,Franklin,Massachusetts,2470.0,25.5
196,Buckland,Franklin,Massachusetts,65.0,19.2
197,Charlemont,Franklin,Massachusetts,1396.0,9.2
198,Colrain,Franklin,Massachusetts,1890.0,14.0
199,Conway,Franklin,Massachusetts,1620.0,18.6
200,Deerfield,Franklin,Massachusetts,1321.0,27.7
201,Drury,Berkshire,Massachusetts,167.0,5.6
202,Erving,Franklin,Massachusetts,1631.0,45.7
203,Heath,Franklin,Massachusetts,409.0,11.8
204,Lake Pleasant,Franklin,Massachusetts,197.0,212.9
205,Millers Falls,Franklin,Massachusetts,764.0,29.9
206,Monroe Bridge,Franklin,Massachusetts,103.0,3.7
207,Montague,Franklin,Massachusetts,2741.0,54.0
208,Gill,Franklin,Massachusetts,1747.0,49.1
209,New Salem,Franklin,Massachusetts,1009.0,8.2
210,Northfield,Franklin,Massachusetts,2871.0,32.3
211,Orange,Franklin,Massachusetts,7643.0,82.0
212,Petersham,Worcester,Massachusetts,1177.0,12.3
213,Rowe,Franklin,Massachusetts,504.0,7.9
214,Royalston,Worcester,Massachusetts,1455.0,12.7
215,Shelburne Falls,Franklin,Massachusetts,3713.0,29.8
216,South Deerfield,Franklin,Massachusetts,4921.0,82.4
217,Sunderland,Franklin,Massachusetts,3658.0,100.3
218,Turners Falls,Franklin,Massachusetts,4868.0,460.8
219,Warwick,Franklin,Massachusetts,814.0,8.4
220,Wendell,Franklin,Massachusetts,779.0,13.9
221,Wendell Depot,Franklin,Massachusetts,25.0,1.5
222,Fitchburg,Worcester,Massachusetts,41661.0,535.1
223,Ashburnham,Worcester,Massachusetts,6457.0,67.9
224,Ashby,Middlesex,Massachusetts,3187.0,52.0
225,Ayer,Middlesex,Massachusetts,8118.0,367.9
226,Devens,Worcester,Massachusetts,1763.0,104.5
227,Baldwinville,Worcester,Massachusetts,3694.0,158.6
228,East Templeton,Worcester,Massachusetts,385.0,457.8
229,Gardner,Worcester,Massachusetts,21231.0,334.5
230,Groton,Middlesex,Massachusetts,11212.0,132.1
231,Harvard,Worcester,Massachusetts,5362.0,98.4
232,Hubbardston,Worcester,Massachusetts,4338.0,40.8
233,Leominster,Worcester,Massachusetts,43550.0,637.9
234,Littleton,Middlesex,Massachusetts,10084.0,235.7
235,Lunenburg,Worcester,Massachusetts,11765.0,170.7
236,Pepperell,Middlesex,Massachusetts,11667.0,199.5
237,Shirley,Middlesex,Massachusetts,7092.0,181.0
238,Templeton,Worcester,Massachusetts,4009.0,70.5
239,Townsend,Middlesex,Massachusetts,7168.0,128.0
240,Westminster,Worcester,Massachusetts,8220.0,89.6
241,West Townsend,Middlesex,Massachusetts,1902.0,66.2
242,Winchendon,Worcester,Massachusetts,10180.0,91.9
243,Auburn,Worcester,Massachusetts,16763.0,424.3
244,Berlin,Worcester,Massachusetts,3514.0,104.6
245,Blackstone,Worcester,Massachusetts,9195.0,319.5
246,Boylston,Worcester,Massachusetts,4855.0,116.7
247,Brookfield,Worcester,Massachusetts,3443.0,85.6
248,Charlton,Worcester,Massachusetts,13338.0,122.1
249,Clinton,Worcester,Massachusetts,15347.0,1048.3
250,East Brookfield,Worcester,Massachusetts,2120.0,83.0
251,Douglas,Worcester,Massachusetts,9213.0,97.1
252,Fiskdale,Worcester,Massachusetts,3047.0,96.1
253,Grafton,Worcester,Massachusetts,7634.0,276.0
254,Holden,Worcester,Massachusetts,16893.0,346.5
255,Holland,Hampden,Massachusetts,2585.0,81.3
256,Jefferson,Worcester,Massachusetts,2890.0,71.1
257,Lancaster,Worcester,Massachusetts,8395.0,118.2
258,Leicester,Worcester,Massachusetts,6077.0,147.6
259,Linwood,Worcester,Massachusetts,31.0,939.7
260,Millbury,Worcester,Massachusetts,13852.0,343.3
261,Millville,Worcester,Massachusetts,3176.0,252.2
262,New Braintree,Worcester,Massachusetts,984.0,18.3
263,Northborough,Worcester,Massachusetts,15647.0,327.0
264,Northbridge,Worcester,Massachusetts,5893.0,239.2
265,North Brookfield,Worcester,Massachusetts,4750.0,86.2
266,North Grafton,Worcester,Massachusetts,7282.0,328.4
267,North Oxford,Worcester,Massachusetts,1935.0,109.7
268,Oxford,Worcester,Massachusetts,11420.0,230.8
269,Princeton,Worcester,Massachusetts,3497.0,38.1
270,Rochdale,Worcester,Massachusetts,2815.0,258.0
271,Rutland,Worcester,Massachusetts,9102.0,100.1
272,Shrewsbury,Worcester,Massachusetts,38734.0,720.6
273,Southbridge,Worcester,Massachusetts,17669.0,337.1
274,South Grafton,Worcester,Massachusetts,4734.0,513.1
275,South Lancaster,Worcester,Massachusetts,0.0,0.0
276,Spencer,Worcester,Massachusetts,11955.0,140.5
277,Sterling,Worcester,Massachusetts,8053.0,101.6
278,Sturbridge,Worcester,Massachusetts,6795.0,105.0
279,Upton,Worcester,Massachusetts,7828.0,142.5
280,Uxbridge,Worcester,Massachusetts,14039.0,184.5
281,Webster,Worcester,Massachusetts,17671.0,552.1
282,Dudley,Worcester,Massachusetts,11885.0,220.3
283,Westborough,Worcester,Massachusetts,21360.0,400.2
284,West Boylston,Worcester,Massachusetts,7476.0,229.5
285,West Brookfield,Worcester,Massachusetts,4841.0,66.6
286,Whitinsville,Worcester,Massachusetts,10468.0,499.4
287,Sutton,Worcester,Massachusetts,9268.0,110.2
288,Worcester,Worcester,Massachusetts,25869.0,1713.6
289,Cherry Valley,Worcester,Massachusetts,2188.0,247.2
290,Paxton,Worcester,Massachusetts,5013.0,126.8
291,Framingham,Middlesex,Massachusetts,32973.0,753.8
292,Acton,Middlesex,Massachusetts,737.0,2064.3
293,Boxborough,Middlesex,Massachusetts,5462.0,205.1
294,Ashland,Middlesex,Massachusetts,18634.0,583.1
295,Bedford,Middlesex,Massachusetts,14408.0,447.0
296,Hanscom Afb,Middlesex,Massachusetts,1784.0,294.7
297,Bolton,Worcester,Massachusetts,5653.0,109.4
298,Carlisle,Middlesex,Massachusetts,5209.0,131.7
299,Concord,Middlesex,Massachusetts,18311.0,293.1
300,Fayville,Worcester,Massachusetts,554.0,548.6
301,Holliston,Middlesex,Massachusetts,14902.0,308.4
302,Hopedale,Worcester,Massachusetts,6021.0,449.2
303,Hopkinton,Middlesex,Massachusetts,18748.0,276.0
304,Hudson,Middlesex,Massachusetts,19947.0,668.1
305,Marlborough,Middlesex,Massachusetts,41391.0,766.1
306,Maynard,Middlesex,Massachusetts,10671.0,792.8
307,Mendon,Worcester,Massachusetts,6238.0,135.5
308,Milford,Worcester,Massachusetts,30411.0,775.8
309,Natick,Middlesex,Massachusetts,36274.0,947.5
310,Sherborn,Middlesex,Massachusetts,4404.0,107.7
311,Southborough,Worcester,Massachusetts,9867.0,279.8
312,Lincoln,Middlesex,Massachusetts,5216.0,145.3
313,Stow,Middlesex,Massachusetts,7111.0,158.4
314,Sudbury,Middlesex,Massachusetts,18926.0,299.4
315,Wayland,Middlesex,Massachusetts,14070.0,361.4
316,Woburn,Middlesex,Massachusetts,40992.0,1245.8
317,Burlington,Middlesex,Massachusetts,26004.0,890.8
318,Andover,Essex,Massachusetts,35612.0,450.5
319,Billerica,Middlesex,Massachusetts,30854.0,718.0
320,Chelmsford,Middlesex,Massachusetts,26612.0,568.9
321,Dracut,Middlesex,Massachusetts,32309.0,600.2
322,Dunstable,Middlesex,Massachusetts,3359.0,78.8
323,Haverhill,Essex,Massachusetts,26885.0,748.5
324,Georgetown,Essex,Massachusetts,8389.0,252.6
325,Groveland,Essex,Massachusetts,6742.0,293.1
326,Lawrence,Essex,Massachusetts,6977.0,5277.0
327,Methuen,Essex,Massachusetts,52780.0,922.2
328,North Andover,Essex,Massachusetts,31624.0,462.3
329,Lowell,Middlesex,Massachusetts,16806.0,4768.1
330,Merrimac,Essex,Massachusetts,6717.0,305.2
331,North Billerica,Middlesex,Massachusetts,11126.0,471.8
332,North Chelmsford,Middlesex,Massachusetts,9570.0,829.4
333,North Reading,Middlesex,Massachusetts,15529.0,455.7
334,Reading,Middlesex,Massachusetts,25443.0,985.8
335,Tewksbury,Middlesex,Massachusetts,30817.0,571.2
336,Tyngsboro,Middlesex,Massachusetts,12385.0,285.3
337,Wakefield,Middlesex,Massachusetts,27026.0,1412.9
338,Westford,Middlesex,Massachusetts,24524.0,313.1
339,Wilmington,Middlesex,Massachusetts,23191.0,527.5
340,Winchester,Middlesex,Massachusetts,22809.0,1460.1
341,Lynn,Essex,Massachusetts,1658.0,2360.0
342,Saugus,Essex,Massachusetts,28566.0,952.6
343,Swampscott,Essex,Massachusetts,15208.0,1942.4
344,Nahant,Essex,Massachusetts,3336.0,1197.3
345,Amesbury,Essex,Massachusetts,17279.0,542.7
346,Beverly,Essex,Massachusetts,41611.0,1130.7
347,Boxford,Essex,Massachusetts,8234.0,134.7
348,Byfield,Essex,Massachusetts,3827.0,163.0
349,Danvers,Essex,Massachusetts,27734.0,810.9
350,Essex,Essex,Massachusetts,3648.0,101.1
351,Gloucester,Essex,Massachusetts,29830.0,439.6
352,Hathorne,Essex,Massachusetts,176.0,930.2
353,Ipswich,Essex,Massachusetts,13791.0,165.9
354,Lynnfield,Essex,Massachusetts,13072.0,500.8
355,Manchester,Essex,Massachusetts,5386.0,225.3
356,Marblehead,Essex,Massachusetts,20373.0,1775.7
357,Middleton,Essex,Massachusetts,9668.0,277.6
358,Newburyport,Essex,Massachusetts,18356.0,848.8
359,Newbury,Essex,Massachusetts,2896.0,78.2
360,Salisbury,Essex,Massachusetts,9182.0,230.6
361,Peabody,Essex,Massachusetts,54057.0,1303.2
362,Prides Crossing,Essex,Massachusetts,803.0,352.6
363,Rockport,Essex,Massachusetts,6973.0,385.3
364,Rowley,Essex,Massachusetts,6175.0,131.0
365,Salem,Essex,Massachusetts,44435.0,2081.5
366,South Hamilton,Essex,Massachusetts,7612.0,206.9
367,Topsfield,Essex,Massachusetts,6532.0,212.0
368,Wenham,Essex,Massachusetts,4933.0,248.7
369,West Newbury,Essex,Massachusetts,4521.0,129.8
370,Bellingham,Norfolk,Massachusetts,17025.0,358.4
371,Canton,Norfolk,Massachusetts,24293.0,500.3
372,Cohasset,Norfolk,Massachusetts,8330.0,329.0
373,Dedham,Norfolk,Massachusetts,25150.0,945.5
374,Dover,Norfolk,Massachusetts,5886.0,150.5
375,East Walpole,Norfolk,Massachusetts,4847.0,800.4
376,Foxboro,Norfolk,Massachusetts,18476.0,359.3
377,Franklin,Norfolk,Massachusetts,32777.0,475.1
378,Hingham,Plymouth,Massachusetts,24143.0,420.3
379,Hull,Plymouth,Massachusetts,10116.0,1460.9
380,Humarock,Plymouth,Massachusetts,218.0,145.9
381,Mansfield,Bristol,Massachusetts,23831.0,457.7
382,Marshfield,Plymouth,Massachusetts,25915.0,347.9
383,Medfield,Norfolk,Massachusetts,12844.0,344.2
384,Medway,Norfolk,Massachusetts,13164.0,440.6
385,Millis,Norfolk,Massachusetts,8565.0,274.8
386,Norfolk,Norfolk,Massachusetts,11527.0,298.7
387,Norwell,Plymouth,Massachusetts,11281.0,208.1
388,Norwood,Norfolk,Massachusetts,31343.0,1147.2
389,Scituate,Plymouth,Massachusetts,18718.0,438.1
390,Sharon,Norfolk,Massachusetts,18473.0,314.4
391,South Walpole,Norfolk,Massachusetts,1480.0,594.1
392,Stoughton,Norfolk,Massachusetts,29051.0,697.3
393,Walpole,Norfolk,Massachusetts,19990.0,435.4
394,Westwood,Norfolk,Massachusetts,16149.0,572.6
395,Wrentham,Norfolk,Massachusetts,12173.0,216.5
396,Boston,Suffolk,Massachusetts,4218.0,5946.5
397,Roxbury,Suffolk,Massachusetts,26821.0,6411.5
398,Roxbury Crossing,Suffolk,Massachusetts,14364.0,8959.3
399,Dorchester,Suffolk,Massachusetts,29820.0,6105.9
400,Dorchester Center,Suffolk,Massachusetts,55336.0,7199.0
401,Mattapan,Suffolk,Massachusetts,24994.0,5278.2
402,South Boston,Suffolk,Massachusetts,36175.0,6787.8
403,East Boston,Suffolk,Massachusetts,45357.0,3485.2
404,Charlestown,Suffolk,Massachusetts,19832.0,5656.7
405,Jamaica Plain,Suffolk,Massachusetts,41479.0,4523.6
406,Roslindale,Suffolk,Massachusetts,31637.0,4381.9
407,West Roxbury,Suffolk,Massachusetts,26488.0,2102.6
408,Allston,Suffolk,Massachusetts,17969.0,5620.8
409,Brighton,Suffolk,Massachusetts,44480.0,6606.0
410,Hyde Park,Suffolk,Massachusetts,39498.0,3316.4
411,Cambridge,Middlesex,Massachusetts,38006.0,5358.9
412,Somerville,Middlesex,Massachusetts,25329.0,6331.6
413,Malden,Middlesex,Massachusetts,65463.0,5009.0
414,Everett,Middlesex,Massachusetts,48685.0,5497.8
415,Chelsea,Suffolk,Massachusetts,39875.0,6953.2
416,Revere,Suffolk,Massachusetts,60592.0,4100.5
417,Winthrop,Suffolk,Massachusetts,19031.0,4433.8
418,Medford,Middlesex,Massachusetts,63873.0,3011.2
419,Quincy,Norfolk,Massachusetts,60938.0,1945.2
420,Melrose,Middlesex,Massachusetts,29477.0,2430.2
421,Stoneham,Middlesex,Massachusetts,22992.0,1485.0
422,Braintree,Norfolk,Massachusetts,38748.0,1087.0
423,Milton,Norfolk,Massachusetts,28683.0,808.6
424,Weymouth,Norfolk,Massachusetts,15313.0,1531.0
425,East Weymouth,Norfolk,Massachusetts,15567.0,1498.9
426,South Weymouth,Norfolk,Massachusetts,18516.0,1021.9
427,North Weymouth,Norfolk,Massachusetts,7904.0,1701.8
428,Brockton,Plymouth,Massachusetts,69225.0,2147.4
429,Avon,Norfolk,Massachusetts,4730.0,425.6
430,Bridgewater,Plymouth,Massachusetts,25819.0,369.4
431,Carver,Plymouth,Massachusetts,11641.0,120.5
432,Duxbury,Plymouth,Massachusetts,16041.0,261.3
433,East Bridgewater,Plymouth,Massachusetts,14382.0,323.0
434,Halifax,Plymouth,Massachusetts,7728.0,186.8
435,Hanover,Plymouth,Massachusetts,14773.0,367.1
436,Hanson,Plymouth,Massachusetts,10513.0,272.3
437,Holbrook,Norfolk,Massachusetts,11282.0,621.4
438,Middleboro,Plymouth,Massachusetts,24268.0,135.7
439,Lakeville,Plymouth,Massachusetts,11625.0,151.7
440,Monponsett,Plymouth,Massachusetts,106.0,359.3
441,Abington,Plymouth,Massachusetts,17003.0,658.9
442,North Easton,Bristol,Massachusetts,12201.0,346.2
443,Pembroke,Plymouth,Massachusetts,18330.0,324.8
444,Plymouth,Plymouth,Massachusetts,61412.0,246.0
445,Kingston,Plymouth,Massachusetts,13702.0,283.8
446,South Carver,Plymouth,Massachusetts,216.0,1862.6
447,Plympton,Plymouth,Massachusetts,2923.0,76.9
448,Randolph,Norfolk,Massachusetts,34747.0,1439.0
449,Rockland,Plymouth,Massachusetts,17721.0,682.2
450,South Easton,Bristol,Massachusetts,11501.0,322.2
451,West Bridgewater,Plymouth,Massachusetts,7648.0,192.7
452,Whitman,Plymouth,Massachusetts,15146.0,843.1
453,Lexington,Middlesex,Massachusetts,16356.0,897.3
454,Brookline,Norfolk,Massachusetts,22124.0,3271.4
455,Waltham,Middlesex,Massachusetts,18379.0,1333.9
456,Babson Park,Norfolk,Massachusetts,1758.0,3351.7
457,Newton,Middlesex,Massachusetts,12706.0,2495.8
458,Newton Center,Middlesex,Massachusetts,19182.0,1471.3
459,Newtonville,Middlesex,Massachusetts,9888.0,2832.4
460,Newton Highlands,Middlesex,Massachusetts,7049.0,1772.9
461,Newton Lower Falls,Middlesex,Massachusetts,1438.0,795.0
462,Newton Upper Falls,Middlesex,Massachusetts,3440.0,2412.4
463,West Newton,Middlesex,Massachusetts,11823.0,2122.1
464,Auburndale,Middlesex,Massachusetts,8859.0,2154.8
465,Chestnut Hill,Norfolk,Massachusetts,21709.0,1708.6
466,Waban,Middlesex,Massachusetts,5589.0,1404.9
467,Watertown,Middlesex,Massachusetts,35300.0,3381.8
468,Arlington,Middlesex,Massachusetts,28167.0,3555.8
469,Belmont,Middlesex,Massachusetts,26964.0,2241.1
470,Wellesley Hills,Norfolk,Massachusetts,17100.0,1084.2
471,Wellesley,Norfolk,Massachusetts,11004.0,1141.8
472,Needham,Norfolk,Massachusetts,21192.0,860.8
473,Weston,Middlesex,Massachusetts,11759.0,269.9
474,Needham Heights,Norfolk,Massachusetts,10765.0,1484.2
