zipcode,lat,lng,city_id
00601,18.18027,-66.75266,0
00602,18.36075,-67.17541,1
00603,18.45744,-67.12225,2
00606,18.16585,-66.93716,3
00610,18.2911,-67.12243,4
00611,18.27698,-66.80688,5
00612,18.41283,-66.7051,6
00616,18.41878,-66.6679,7
00617,18.44598,-66.56006,8
00622,17.98892,-67.1566,9
00623,18.08429,-67.15336,10
00624,18.05905,-66.71932,11
00627,18.41905,-66.86037,12
00631,18.1852,-66.83169,13
00637,18.081,-66.94659,14
00638,18.28462,-66.5137,15
00641,18.26742,-66.70212,16
00646,18.43251,-66.28429,17
00647,17.96667,-66.94266,18
00650,18.34487,-66.58347,19
00652,18.45614,-66.60194,20
00653,17.99413,-66.90266,21
00656,18.04186,-66.79123,22
00659,18.41036,-66.79691,23
00660,18.13412,-67.11399,24
00662,18.46622,-67.01508,25
00664,18.21064,-66.59066,26
00667,18.01246,-67.0417,27
00669,18.27019,-66.86727,28
00670,18.23782,-66.98852,29
00674,18.42229,-66.4891,30
00676,18.37897,-67.08098,31
00677,18.33535,-67.23155,32
00678,18.42949,-66.93016,33
00680,18.16307,-67.36122,34
00682,18.22415,-67.15309,34
00683,18.10926,-67.03803,35
00685,18.33656,-66.97518,36
00687,18.31707,-66.42029,37
00688,18.3807,-66.62496,38
00690,18.49363,-67.09734,39
00692,18.40905,-66.33768,40
00693,18.42633,-66.39811,41
00694,18.48327,-66.39269,41
00698,18.07274,-66.85519,42
00703,18.24739,-66.13143,43
00704,17.97442,-66.22888,44
00705,18.1294,-66.26653,45
00707,18.01752,-65.92127,46
00714,17.9981,-66.05635,47
00715,17.99738,-66.56104,48
00716,17.99942,-66.59868,49
00717,18.00272,-66.61146,49
00718,18.23145,-65.76067,50
00719,18.28879,-66.25316,51
00720,18.21559,-66.42421,52
00723,18.03139,-66.01122,53
00725,18.22052,-66.03962,54
00727,18.21142,-66.07374,54
00728,18.00697,-66.65995,49
00729,18.33524,-65.88677,55
00730,18.03256,-66.61384,49
00731,18.09914,-66.63279,49
00735,18.2525,-65.67534,56
00736,18.10736,-66.14994,57
00738,18.31793,-65.66793,58
00739,18.17543,-66.16198,59
00740,18.33251,-65.63419,60
00741,18.16569,-65.75506,61
00745,18.3466,-65.81382,62
00751,18.01205,-66.25871,63
00754,18.1447,-65.97565,64
00757,17.9933,-66.39056,65
00765,18.12365,-65.43013,66
00766,18.13039,-66.4757,67
00767,18.07033,-65.89618,68
00769,18.09459,-66.3607,69
00771,18.18797,-65.86916,70
00772,18.43048,-65.90377,71
00773,18.34073,-65.72756,72
00775,18.31387,-65.28618,73
00777,18.22365,-65.90904,74
00778,18.26319,-65.97938,75
00780,18.09998,-66.57032,76
00782,18.22501,-66.22452,77
00783,18.30348,-66.32851,78
00784,18.00558,-66.13651,79
00786,18.1357,-66.22881,80
00791,18.14391,-65.81398,81
00794,18.19934,-66.31179,82
00795,18.05128,-66.49485,83
00802,18.34349,-64.9287,84
00820,17.7388,-64.70695,85
00830,18.33857,-64.73802,86
00840,17.72649,-64.84717,87
00850,17.72763,-64.79122,88
00851,17.74757,-64.78737,88
00901,18.46478,-66.10277,89
00906,18.46446,-66.09499,89
00907,18.45287,-66.08381,89
00909,18.44131,-66.06866,89
00911,18.45133,-66.05636,89
00912,18.44503,-66.05995,89
00913,18.45024,-66.04275,89
00915,18.43673,-66.04576,89
00917,18.4208,-66.04989,89
00918,18.42139,-66.06774,89
00920,18.41904,-66.09023,89
00921,18.39206,-66.0871,89
00923,18.41146,-66.03715,89
00924,18.39987,-66.01344,89
00925,18.40028,-66.05058,89
00926,18.34691,-66.05434,89
00927,18.38884,-66.07149,89
00934,18.41372,-66.11998,90
00949,18.43166,-66.21349,91
00950,18.46201,-66.23917,91
00951,18.43175,-66.25628,91
00952,18.42874,-66.18897,92
00953,18.36319,-66.24764,93
00956,18.32121,-66.17185,94
00957,18.36696,-66.18857,94
00959,18.3852,-66.15583,94
00960,18.41674,-66.14365,94
00961,18.40987,-66.16415,94
00962,18.43514,-66.13949,95
00965,18.42853,-66.11175,96
00966,18.39784,-66.11394,96
00968,18.40609,-66.10123,96
00969,18.36696,-66.11,96
00971,18.32067,-66.11751,96
00976,18.33903,-65.99286,97
00979,18.43734,-66.0089,98
00982,18.40961,-65.99143,98
00983,18.41788,-65.98104,98
00985,18.40628,-65.94767,98
00987,18.34115,-65.94257,98
01001,42.06262,-72.62521,99
01002,42.37633,-72.46462,100
01003,42.39135,-72.52327,100
01005,42.42117,-72.10655,101
01007,42.28163,-72.40009,102
01008,42.18234,-72.95819,103
01009,42.21133,-72.34189,104
01010,42.12904,-72.20597,105
01011,42.30233,-72.96448,106
01012,42.38495,-72.84675,107
01013,42.16059,-72.60788,108
01020,42.17618,-72.56538,108
01022,42.19721,-72.54249,108
01026,42.46858,-72.92296,109
01027,42.29506,-72.74303,110
01028,42.05967,-72.49899,111
01029,42.19402,-73.05067,112
01030,42.06869,-72.67967,113
01031,42.32782,-72.19191,114
01032,42.45313,-72.81965,115
01033,42.26082,-72.50361,116
01034,42.0826,-72.95611,117
01035,42.35563,-72.5692,118
01036,42.0638,-72.4157,119
01037,42.37063,-72.19466,120
01038,42.38466,-72.60559,121
01039,42.41049,-72.69188,122
01040,42.21251,-72.64109,123
01050,42.29092,-72.87526,124
01053,42.35205,-72.71032,125
01054,42.47381,-72.48768,126
01056,42.19211,-72.45805,127
01057,42.09118,-72.32392,128
01060,42.32218,-72.63126,129
01062,42.32146,-72.69244,130
01063,42.31962,-72.63951,129
01066,42.40742,-72.64032,131
01068,42.35125,-72.04776,132
01069,42.18798,-72.30578,133
01070,42.51958,-72.92504,134
01071,42.16029,-72.8598,135
01072,42.46327,-72.41893,136
01073,42.23084,-72.73856,137
01074,42.3837,-72.10021,138
01075,42.25672,-72.57928,139
01077,42.05441,-72.77851,140
01079,42.18508,-72.33406,141
01080,42.18228,-72.36515,142
01081,42.06232,-72.23085,143
01082,42.29816,-72.27676,144
01083,42.20652,-72.19906,145
01084,42.38589,-72.88165,146
01085,42.15375,-72.76961,147
01088,42.38981,-72.6465,148
01089,42.12532,-72.65025,149
01092,42.20008,-72.23715,150
01093,42.44335,-72.65099,151
01094,42.36481,-72.13548,152
01095,42.12763,-72.42994,153
01096,42.40968,-72.77213,154
01097,42.17722,-72.83175,155
01098,42.39551,-72.94315,156
01103,42.10443,-72.58997,157
01104,42.13326,-72.56733,157
01105,42.09911,-72.57865,157
01106,42.04877,-72.57163,158
01107,42.12116,-72.60642,157
01108,42.0814,-72.55866,157
01109,42.11839,-72.54876,157
01118,42.09476,-72.5253,157
01119,42.12452,-72.51126,157
01128,42.09497,-72.48806,157
01129,42.1211,-72.4877,157
01144,42.10189,-72.59091,157
01151,42.15294,-72.50883,159
01201,42.45614,-73.28114,160
01220,42.62686,-73.11873,161
01222,42.06242,-73.32146,162
01223,42.31118,-73.09835,163
01224,42.50622,-73.19841,164
01225,42.56385,-73.1512,165
01226,42.47954,-73.15329,166
01229,42.29411,-73.35227,167
01230,42.18197,-73.34244,168
01235,42.43181,-73.07336,169
01236,42.26923,-73.37999,170
01237,42.5529,-73.25373,171
01238,42.30072,-73.22553,172
01240,42.37567,-73.26466,173
01242,42.3334,-73.24967,174
01243,42.34752,-73.03467,175
01244,42.10924,-73.27475,176
01245,42.19043,-73.21579,177
01247,42.69813,-73.09264,178
01253,42.20751,-73.1118,179
01254,42.37972,-73.36608,180
01255,42.1068,-73.12213,181
01256,42.59627,-73.01958,182
01257,42.0976,-73.37241,183
01258,42.09396,-73.46616,184
01259,42.07316,-73.23282,185
01260,42.26663,-73.2712,186
01262,42.30433,-73.32013,187
01264,42.23997,-73.19686,188
01266,42.30264,-73.39846,189
01267,42.66593,-73.24209,190
01270,42.51297,-73.04859,191
01301,42.62375,-72.60379,192
01330,42.51772,-72.81556,193
01331,42.56793,-72.18324,194
01337,42.69512,-72.57731,195
01338,42.5814,-72.80309,196
01339,42.61099,-72.88846,197
01340,42.68805,-72.73205,198
01341,42.50734,-72.70221,199
01342,42.54384,-72.6058,200
01343,42.66766,-72.98822,201
01344,42.60756,-72.42916,202
01346,42.6706,-72.81323,203
01347,42.56027,-72.51321,204
01349,42.56656,-72.47045,205
01350,42.72259,-72.98291,206
01351,42.54162,-72.52069,207
01354,42.63282,-72.51136,208
01355,42.45101,-72.33141,209
01360,42.67575,-72.446,210
01364,42.60449,-72.29263,211
01366,42.48858,-72.18564,212
01367,42.69674,-72.91387,213
01368,42.67815,-72.18557,214
01370,42.59607,-72.72915,215
01373,42.47292,-72.61516,216
01375,42.46475,-72.55489,217
01376,42.59273,-72.54591,218
01378,42.67711,-72.34057,219
01379,42.54149,-72.3989,220
01380,42.58675,-72.40264,221
01420,42.58559,-71.81693,222
01430,42.66069,-71.9232,223
01431,42.67652,-71.82322,224
01432,42.56351,-71.57059,225
01434,42.53149,-71.61663,226
01436,42.60579,-72.08958,227
01438,42.56028,-72.03583,228
01440,42.58797,-71.98649,229
01450,42.61368,-71.56139,230
01451,42.50005,-71.57754,231
01452,42.48378,-72.00514,232
01453,42.51961,-71.76583,233
01460,42.53503,-71.4891,234
01462,42.58994,-71.72036,235
01463,42.67126,-71.60429,236
01464,42.57411,-71.6475,237
01468,42.55324,-72.06879,238
01469,42.66514,-71.69161,239
01473,42.55122,-71.90266,240
01474,42.67088,-71.7508,241
01475,42.66675,-72.04902,242
01501,42.19689,-71.84549,243
01503,42.38378,-71.63552,244
01504,42.0399,-71.53125,245
01505,42.35633,-71.72123,246
01506,42.19364,-72.10441,247
01507,42.13509,-71.96803,248
01510,42.4119,-71.68883,249
01515,42.20328,-72.04669,250
01516,42.0528,-71.75106,251
01518,42.11342,-72.11632,252
01519,42.20077,-71.67892,253
01520,42.33685,-71.85181,254
01521,42.06012,-72.16592,255
01522,42.38142,-71.87111,256
01523,42.48176,-71.68079,257
01524,42.24919,-71.91989,258
01525,42.09899,-71.64296,259
01527,42.19228,-71.77397,260
01529,42.03906,-71.57767,261
01531,42.31929,-72.12794,262
01532,42.32314,-71.64621,263
01534,42.13991,-71.64433,264
01535,42.2695,-72.07794,265
01536,42.23189,-71.69219,266
01537,42.16177,-71.89217,267
01540,42.11649,-71.85819,268
01541,42.45649,-71.88128,269
01542,42.20241,-71.90995,270
01543,42.38482,-71.96726,271
01545,42.28419,-71.71558,272
01550,42.06039,-72.03377,273
01560,42.17496,-71.67762,274
01561,42.44581,-71.68845,275
01562,42.24715,-71.99189,276
01564,42.44124,-71.77297,277
01566,42.1047,-72.07745,278
01568,42.17694,-71.60516,279
01569,42.05895,-71.63741,280
01570,42.05206,-71.8485,281
01571,42.05501,-71.93519,282
01581,42.26815,-71.61402,283
01583,42.37034,-71.78502,284
01585,42.23762,-72.16311,285
01588,42.11837,-71.66836,286
01590,42.13387,-71.75179,287
01602,42.27219,-71.84946,288
01603,42.24373,-71.84429,288
01604,42.25085,-71.7683,288
01605,42.28979,-71.78802,288
01606,42.31367,-71.79614,288
01607,42.22684,-71.79037,288
01608,42.2621,-71.80145,288
01609,42.28592,-71.82853,288
